date,region,product,units,revenue
2026-01-01,North,Alpha,10,1000
2026-01-02,South,Beta,11,1075
2026-01-03,East,Gamma,12,1150
2026-01-04,West,Alpha,13,1225
2026-01-05,North,Beta,14,1300
2026-01-06,South,Gamma,15,1375
2026-01-07,East,Alpha,16,1450
2026-01-08,West,Beta,17,1525
2026-01-09,North,Gamma,18,1600
2026-01-10,South,Alpha,19,1675
2026-01-11,East,Beta,20,1750
2026-01-12,West,Gamma,21,1825
2026-01-13,North,Alpha,22,1900
2026-01-14,South,Beta,23,1975
2026-01-15,East,Gamma,24,2050
2026-01-16,West,Alpha,25,2125
2026-01-17,North,Beta,26,2200
2026-01-18,South,Gamma,27,2275
2026-01-19,East,Alpha,28,2350
2026-01-20,West,Beta,29,2425
2026-01-21,North,Gamma,30,2500
2026-01-22,South,Alpha,31,2575
2026-01-23,East,Beta,32,2650
2026-01-24,West,Gamma,33,2725
2026-01-25,North,Alpha,34,2800
2026-01-26,South,Beta,35,2875
2026-01-27,East,Gamma,36,2950
2026-01-28,West,Alpha,37,3025
2026-01-29,North,Beta,38,3100
2026-01-30,South,Gamma,39,3175
